22-May-19,Aladdin,182000000,355559216,1046587513,864587513.0
25-Oct-17,Thor: Ragnarok,180000000,315058289,850482778,670482778.0
9-Dec-05,The Chronicles of Narnia: The Lion the Witch a…,180000000,291710957,720539572,540539572.0
28-May-14,Maleficent,180000000,241407328,758536735,578536735.0
14-Nov-16,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385,631724385.0
27-Jun-08,WALL-E,180000000,223808164,532508025,352508025.0
10-Aug-07,Rush Hour 3,180000000,140125968,256585882,76585882.0
27-Jun-16,The Legend of Tarzan,180000000,126643061,348902025,168902025.0
23-Nov-11,Hugo,180000000,73864507,180047784,47784.0
20-Jul-17,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,35098356.0
6-Feb-15,Jupiter Ascending,179000000,47482519,181982519,2982519.0
16-Jul-18,Mission: Impossible—Fallout,178000000,220159104,786626183,608626183.0
18-May-16,X-Men: Apocalypse,178000000,155442489,542537546,364537546.0
9-Aug-18,The Meg,178000000,145443742,527267828,349267828.0
28-May-14,Edge of Tomorrow,178000000,100206256,367028980,189028980.0
6-Mar-19,Captain Marvel,175000000,426829839,1129576094,954576094.0
7-Apr-16,The Jungle Book,175000000,364001123,953535821,778535821.0
12-Jun-15,Inside Out,175000000,356461711,850566343,675566343.0
5-Jul-17,Spider-Man: Homecoming,175000000,334201140,878271291,703271291.0
2-Aug-16,Suicide Squad,175000000,325100054,745744980,570744980.0
28-May-09,Up,175000000,293004164,731463377,556463377.0
27-Oct-17,Coco,175000000,210460015,796514370,621514370.0
21-Nov-18,Ralph Breaks The Internet,175000000,201091711,529290830,354290830.0
27-Mar-09,Monsters vs. Aliens,175000000,198351526,381687380,206687380.0
16-Jun-17,Cars 3,175000000,152901115,383541369,208541369.0
7-Aug-09,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,127469017.0
30-Jun-99,Wild Wild West,175000000,113805681,221229335,46229335.0
1-Aug-08,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,230760225.0
22-Jun-07,Evan Almighty,175000000,100289690,174131329,-868671.0
